LSOA11NM,LSOA11CD,PCN_Code,PCN_Name
Arun 002A ,E01031386,U04748,Angmering Coppice Fitzalan (ACF) PCN
Arun 002B ,E01031387,U04748,Angmering Coppice Fitzalan (ACF) PCN
Arun 004A ,E01031427,U04748,Angmering Coppice Fitzalan (ACF) PCN
Arun 004B ,E01031429,U04748,Angmering Coppice Fitzalan (ACF) PCN
Arun 004C ,E01031430,U04748,Angmering Coppice Fitzalan (ACF) PCN
Arun 004D ,E01031467,U04748,Angmering Coppice Fitzalan (ACF) PCN
Arun 004E ,E01031468,U04748,Angmering Coppice Fitzalan (ACF) PCN
Arun 005A ,E01031388,U04748,Angmering Coppice Fitzalan (ACF) PCN
Arun 005B ,E01031389,U04748,Angmering Coppice Fitzalan (ACF) PCN
Arun 009F ,E01031469,U04748,Angmering Coppice Fitzalan (ACF) PCN
Arun 010C ,E01031457,U04748,Angmering Coppice Fitzalan (ACF) PCN
Arun 011B ,E01031428,U04748,Angmering Coppice Fitzalan (ACF) PCN
Arun 011C ,E01031454,U04748,Angmering Coppice Fitzalan (ACF) PCN
Arun 011D ,E01031456,U04748,Angmering Coppice Fitzalan (ACF) PCN
Arun 005C ,E01031414,U21339,Arun Integrated Care (AIC) PCN
Arun 005D ,E01031415,U21339,Arun Integrated Care (AIC) PCN
Arun 005E ,E01031459,U21339,Arun Integrated Care (AIC) PCN
Arun 007A ,E01031407,U21339,Arun Integrated Care (AIC) PCN
Arun 007B ,E01031408,U21339,Arun Integrated Care (AIC) PCN
Arun 007C ,E01031410,U21339,Arun Integrated Care (AIC) PCN
Arun 007D ,E01031462,U21339,Arun Integrated Care (AIC) PCN
Arun 007E ,E01031463,U21339,Arun Integrated Care (AIC) PCN
Arun 007F ,E01031464,U21339,Arun Integrated Care (AIC) PCN
Arun 008A ,E01031412,U21339,Arun Integrated Care (AIC) PCN
Arun 009A ,E01031398,U21339,Arun Integrated Care (AIC) PCN
Arun 009B ,E01031399,U21339,Arun Integrated Care (AIC) PCN
Arun 009C ,E01031409,U21339,Arun Integrated Care (AIC) PCN
Arun 009D ,E01031455,U21339,Arun Integrated Care (AIC) PCN
Arun 009E ,E01031461,U21339,Arun Integrated Care (AIC) PCN
Arun 010A ,E01031411,U21339,Arun Integrated Care (AIC) PCN
Arun 010B ,E01031413,U21339,Arun Integrated Care (AIC) PCN
Arun 010D ,E01031458,U21339,Arun Integrated Care (AIC) PCN
Arun 010E ,E01031460,U21339,Arun Integrated Care (AIC) PCN
Arun 011A ,E01031400,U21339,Arun Integrated Care (AIC) PCN
Lewes 002B ,E01021026,U06871,Burgess Hill & Villages PCN
Mid Sussex 012A ,E01031699,U06871,Burgess Hill & Villages PCN
Mid Sussex 012B ,E01031700,U06871,Burgess Hill & Villages PCN
Mid Sussex 012C ,E01031701,U06871,Burgess Hill & Villages PCN
Mid Sussex 012D ,E01031714,U06871,Burgess Hill & Villages PCN
Mid Sussex 013A ,E01031704,U06871,Burgess Hill & Villages PCN
Mid Sussex 013B ,E01031706,U06871,Burgess Hill & Villages PCN
Mid Sussex 013C ,E01031711,U06871,Burgess Hill & Villages PCN
Mid Sussex 013D ,E01031712,U06871,Burgess Hill & Villages PCN
Mid Sussex 013E ,E01031713,U06871,Burgess Hill & Villages PCN
Mid Sussex 014A ,E01031705,U06871,Burgess Hill & Villages PCN
Mid Sussex 014B ,E01031707,U06871,Burgess Hill & Villages PCN
Mid Sussex 014C ,E01031708,U06871,Burgess Hill & Villages PCN
Mid Sussex 014D ,E01031709,U06871,Burgess Hill & Villages PCN
Mid Sussex 014E ,E01031716,U06871,Burgess Hill & Villages PCN
Mid Sussex 014F ,E01031717,U06871,Burgess Hill & Villages PCN
Mid Sussex 015A ,E01031702,U06871,Burgess Hill & Villages PCN
Mid Sussex 015B ,E01031703,U06871,Burgess Hill & Villages PCN
Mid Sussex 015C ,E01031710,U06871,Burgess Hill & Villages PCN
Mid Sussex 015D ,E01031715,U06871,Burgess Hill & Villages PCN
Mid Sussex 016A ,E01031698,U06871,Burgess Hill & Villages PCN
Mid Sussex 016B ,E01031767,U06871,Burgess Hill & Villages PCN
Mid Sussex 016C ,E01031769,U06871,Burgess Hill & Villages PCN
